rpid,parent
3062643839,3061361771
3062648003,3061451247
3062658688,3061487421
3062662064,3061637391
3062693762,3061361771
3062728390,3061361771
3062733184,3062412669
3062734133,3061361771
3062761819,3061361771
3062810895,3061437039
3062818701,3061540454
3062898129,3061487421
3062922145,3061455886
3062963639,3061437039
3063009624,3061361771
3063025037,3061437039
3063034978,3061361771
3063093349,3061540454
3063105242,3062818701
3063113006,3061361771
3063157379,3063093349
3063198337,3061437039
3063252865,3061361771
3063264708,3061749767
3063305752,3061361771
3063329043,3061540454
3063361537,3061437039
3063367817,3061361771
3063417216,3061442881
3063424439,3061361771
3063443200,3061361771
3063450981,3061361771
3063516164,3063329043
3063518152,3061487421
3063562700,3061442881
3063579240,3061361771
3063593161,3061361771
3063603686,3061540454
3063599510,3061498377
3063677952,3061361771
3063692995,3063603686
3063714929,3061780613
3063771849,3061361771
3063782875,3063157379
3063845594,3063516164
3063918272,3061437039
3063923367,3061504312
3063942910,3063845594
3063948368,3061361771
3063939962,3061361771
3063948925,3063782875
3064003526,3061437039
3064007335,3063942910
3064011261,3061442881
3064051439,3061361771
3064063158,3061437039
3064077081,3064007335
3064087862,3061516293
3064150913,3061361771
3064192006,3061361771
3064192342,3064192006
3064272474,3061712031
3064294338,3061361771
3064355764,3061593093
3064453239,3061361771
3064559006,3064077081
3064577500,3061361771
3064611431,3061361771
3064608761,3061361771
3064685033,3061504573
3064727388,3061361771
3064757580,3061706892
3064762144,3061361771
3064790442,3061361771
3064828259,3061484310
3064845682,3061361771
3064863924,3062005659
3064896448,3061780613
3064948094,3061540454
3065008080,3061442881
3065140716,3061361771
3065176108,3061442881
3065174529,3061540454
3065198334,3061361771
3065254662,3061361771
3065371086,3061361771
3065535003,3061437039
3065537757,3061780613
3065603986,3061361771
3065651431,3061361771
3065665643,3063948925
3065727429,3061451247
3065877360,3061361771
3065961604,3061361771
3065993375,3061442881
3066063118,3061437039
3066077871,3061540454
3066190899,3061498377
3066209166,3065174529
3066227270,3066077871
3066229483,3065174529
3066234501,3064948094
3066244233,3061706892
3066257786,3061487421
3066398748,3061487421
3066405617,3061361771
3066413307,3061361771
3066420145,3061361771
3066504291,3061456039
3066557176,3061749767
3066669180,3066209166
3066915922,3061361771
3066929586,3061451247
3066982359,3061361771
3067089408,3061451247
3067297487,3061361771
3067303768,3061580304
3067365560,3061437039
3067372086,3061540454
3067522325,3061361771
3067525824,3061361771
3067611303,3061361771
3067627502,3061437039
3067711295,3061755298
3067773872,3061361771
3067822252,3061361771
3067853787,3067673059
3067930990,3061361771
3067935368,3067930990
3068120100,3061361771
3068189260,3061361771
3068246412,3061516293
3068374084,3061451247
3068471956,3061361771
3068584961,3061487421
3068649923,3061487421
3068664860,3061456039
3068787724,3061437039
3068803196,3061487421
3069000318,3061780613
3069036452,3061361771
3069054860,3061437039
3069332891,3061462332
3069390456,3061462332
3069610462,3061361771
3069613593,3061460804
3069632039,3061442881
3069681734,3061361771
3069700021,3061361771
3069759729,3061442881
3069841242,3061437039
3069856729,3061437039
3069869784,3061361771
3070158285,3061361771
3070216690,3061361771
3070348347,3061456039
3070461839,3061487421
3070590943,3061361771
3070613673,3061437039
3070622929,3061487421
3070632835,3061437039
3070882648,3062055527
3070958256,3061361771
3071138204,3061437039
3071271199,3061437039
3071414689,3061361771
3071456316,3061437039
3071496575,3061361771
3071565207,3061456039
3071625901,3061593093
3071629191,3061780613
3071643783,3062470133
3071655544,3062526045
3071666785,3064077081
3071716066,3061361771
3071780019,3061361771
3071849705,3061361771
3072172399,3061361771
3072420142,3061442881
3072563277,3061361771
3072559527,3061437039
3072949019,3061780613
3073253601,3061456039
3074333761,3061442881
3074340279,3061361771
3074433782,3061361771
3075625162,3061437039
3075636625,3061361771
3075806088,3061361771
3076314768,3074333761
3076324633,3064011261
3076612601,3061361771
3076849210,3061437039
